Type,Label,Identifier,Initials,Short Label,Summary,Chronological Position,Narrative Position,Color,Parent,Ongoing,Start Date,Latest Start Date,Duration,Earliest End Date,End Date,Tags,Blocked By,Blocks,Date Constraints,Links,Image (Links only),Relates to,Task Type,Priority
Task,"01 - Understand/Review: Vision, Mission, Strategy, Business Requirements, Market Research","TSK1",,,,1,,Denim,,False,2023-01-09 12:00,,"2 weeks",,2023-01-23 12:00,"Understand/Review","","TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1","","",,"TSK2","Routine","High"
Task,"01 - Understand/Review: Current MVP and technology stack","TSK2",,,,2,,Denim,,False,2023-01-23 12:00,,"2 weeks",,2023-02-06 12:00,"Understand/Review","TSK1","TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2","","",,"","Routine","High"
Task,"02 - Co-create & Co-develop: Investment/funding sources, relevant capital and resources availability - plan and strategies","TSK3",,,"",3,,Light Purple,,False,2023-02-06 12:00,,"2 weeks",,2023-02-20 12:00,"Co-create & Co-develop","TSK1,TSK2","TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3","","",,"","",""
Task,"02 - Co-create & Co-develop: Business roadmap","TSK4",,,,4,,Light Purple,,False,2023-02-20 16:24,,"2 weeks",,2023-03-06 16:24,"Co-create & Co-develop","TSK1,TSK3,TSK2","TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4","","",,"","",""
Task,"02 - Co-create & Co-develop: Technology roadmap","TSK5",,,,5,,Light Purple,,False,2023-03-06 16:24,,"0 seconds",,2023-03-06 16:24,"Co-create & Co-develop","TSK1,TSK3,TSK2,TSK4","TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5","","",,"","",""
Task,"02 - Co-create & Co-develop: Resource allocation","TSK6",,,,6,,Light Purple,,False,2023-03-25 10:00,,"0 seconds",,2023-03-25 10:00,"Co-create & Co-develop","TSK1,TSK3,TSK2,TSK4,TSK5","TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6","","",,"","",""
Task,"02 - Co-create & Co-develop: Feature prioritisation","TSK7",,,,7,,Light Purple,,False,2023-04-12 14:00,,"0 seconds",,2023-04-12 14:00,"Co-create & Co-develop","TSK1,TSK3,TSK4,TSK5,TSK2,TSK6","TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7","","",,"","",""
Task,"02 - Co-Create & Co-develop: Define MVP scope","TSK8",,,,8,,Light Purple,,False,2023-04-30 07:00,,"0 seconds",,2023-04-30 07:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7","TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8","","",,"","",""
Task,"02 - Co-create & Co-develop: Refine immediate term, short term, medium term, long term and far future strategies","TSK9",,,,9,,Light Purple,,False,2023-05-24 11:00,,"0 seconds",,2023-05-24 11:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8","TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9","","",,"","",""
Task,"02 - Co-create & Co-develop: Perform feasibility analysis","TSK10",,,,10,,Light Purple,,False,2023-06-14 10:00,,"0 seconds",,2023-06-14 10:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9","TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10","","",,"","",""
Task,"02 - Co-create & Co-develop: Identify and co-create scaling and monetisation strategies","TSK12",,,,11,,Light Purple,,False,2023-07-06 16:00,,"0 seconds",,2023-07-06 16:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK9,TSK7,TSK6,TSK4,TSK5,TSK8,TSK10","TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12,TSK12","","",,"","",""
Task,"02 - Co-create & Co-develop: Initial launch, kick-off and marketing plan","TSK18",,,,12,,Light Purple,,False,2023-07-28 04:00,,"0 seconds",,2023-07-28 04:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12","TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18,TSK18","","",,"","",""
Task,"02 - Co-create & Co-develop: Strategy for initial seed of users (for all supported roles/categories)","TSK19",,,,13,,Light Purple,,False,2023-08-17 03:00,,"0 seconds",,2023-08-17 03:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18","TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19,TSK19","","",,"","",""
Task,"02 - Co-create & Co-develop: Suitable product and intellectual property licensing strategies","TSK48",,,,14,,Light Purple,,False,2023-09-16 06:00,,"0 seconds",,2023-09-16 06:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19","TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48,TSK48","","",,"","",""
Task,"03 - Build & Lead: Once secured investment, develop hiring plan","TSK14",,,,15,,Dark Purple,,False,2023-10-07 18:00,,"0 seconds",,2023-10-07 18:00,"Build & Lead","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48","TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14,TSK14","","",,"","",""
Task,"03 - Build & Lead: Foster and co-create culture","TSK15",,,,16,,Dark Purple,,False,2023-10-28 11:00,,"0 seconds",,2023-10-28 11:00,"Build & Lead","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14","TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15,TSK15","","",,"","",""
Task,"03 - Build & Lead: Develop mentorship and leadership strategies","TSK16",,,,17,,Dark Purple,,False,2023-11-19 02:00,,"0 seconds",,2023-11-19 02:00,"Build & Lead","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15","TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16,TSK16","","",,"","",""
Task,"03 - Build & Lead: Co-create responsibilities and expectations","TSK17",,,,18,,Dark Purple,,False,2023-12-09 05:00,,"0 seconds",,2023-12-09 05:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15,TSK16","TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17,TSK17","","",,"","",""
Task,"03 - Build & Lead: Define roles and responsibilities for various departments and their respective teams","TSK20",,,,19,,Dark Purple,,False,2024-01-08 22:00,,"0 seconds",,2024-01-08 22:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK19,TSK48,TSK14,TSK15,TSK16,TSK17,TSK18","TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20,TSK20","","",,"","",""
Task,"03 - Build & Lead: Co-create internal & external communication + relationship strategies","TSK21",,,,20,,Dark Purple,,False,2024-01-29 17:00,,"0 seconds",,2024-01-29 17:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15,TSK16,TSK17,TSK20","TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21,TSK21","","",,"","",""
Task,"04 - Best Practices: Establish for development, testing, QC/QA, releases, CI/CD, customer support, documentation, security, privacy, information sensitivity","TSK22",,,,21,,Light Teal,,False,2024-02-20 17:00,,"0 seconds",,2024-02-20 17:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15,TSK16,TSK17,TSK20,TSK21","TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22,TSK22","","",,"","",""
Task,"04 - Best Practices: Create extensive knowledge base repository (including but not limited to flowcharts, diagrams, architecture decision records, meeting minutes, charts, graphs, performance metrics and wikis)","TSK23",,,,22,,Light Teal,,False,2024-03-13 10:00,,"0 seconds",,2024-03-13 10:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15,TSK16,TSK17,TSK20,TSK21,TSK22","TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23,TSK23","","",,"","",""
Task,"04 - Best Practices: Set accessibility expectations and analyse feasibility and scope","TSK24",,,,23,,Light Teal,,False,2024-04-04 22:00,,"0 seconds",,2024-04-04 22:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15,TSK16,TSK17,TSK20,TSK21,TSK22,TSK23","TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24,TSK24","","",,"","",""
