Type,Label,Identifier,Initials,Short Label,Summary,Chronological Position,Narrative Position,Color,Parent,Ongoing,Start Date,Latest Start Date,Duration,Earliest End Date,End Date,Tags,Blocked By,Blocks,Date Constraints,Links,Image (Links only),Relates to,Task Type,Priority
Task,"04 - Best Practices: Establish complete end-to-end product development lifecycle (including but not limited to decommission, disposal and maintenance)","TSK25",,,,24,,Light Teal,,False,2024-05-02 09:00,,"0 seconds",,2024-05-02 09:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15,TSK16,TSK17,TSK20,TSK21,TSK22,TSK23,TSK24","TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25,TSK25","","",,"","",""
Task,"04 - Best Practices: Create development/release/update cycle and strategies","TSK26",,,,25,,Light Teal,,False,2024-05-23 00:00,,"0 seconds",,2024-05-23 00:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15,TSK16,TSK17,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25","TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26,TSK26","","",,"","",""
Task,"04 - Best Practices: Establish industry standard best practices and guidelines throughout the organisation","TSK27",,,,26,,Light Teal,,False,2024-06-10 14:00,,"0 seconds",,2024-06-10 14:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK19,TSK48,TSK16,TSK17,TSK18,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK14,TSK15","TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27,TSK27","","",,"","",""
Task,"04 - Best Practices: Develop strategies for dealing with inevitable technical and other kinds of debts","TSK28",,,,27,,Light Teal,,False,2024-07-02 10:00,,"0 seconds",,2024-07-02 10:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK20,TSK14,TSK15,TSK16,TSK17,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK48","TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28,TSK28","","",,"","",""
Task,"05 - Evaluate & Optimise: Perform SWOT and Risk Analysis","TSK13",,,,28,,Peach,,False,2024-07-22 14:00,,"0 seconds",,2024-07-22 14:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK19,TSK48,TSK14,TSK15,TSK16,TSK17,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28","TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13,TSK13","","",,"","",""
Task,"05 - Evaluate & Optimise: Technical and technological stacks","TSK29",,,,29,,Peach,,False,2024-08-18 13:00,,"0 seconds",,2024-08-18 13:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK48","TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29,TSK29","","",,"","",""
Task,"05 - Evaluate & Optimise: Identify technical and technological capabilities","TSK11",,,,30,,Peach,,False,2024-09-06 07:00,,"0 seconds",,2024-09-06 07:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK12,TSK18,TSK13,TSK19,TSK20,TSK14,TSK15,TSK16,TSK17,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK29,TSK48","TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11,TSK11","","",,"","",""
Task,"05 - Evaluate & Optimise: Introduce new (updated and better) technologies","TSK30",,,,31,,Peach,,False,2024-09-28 08:00,,"0 seconds",,2024-09-28 08:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK29,TSK48","TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30,TSK30","","",,"","",""
Task,"05 - Evaluate & Optimise: Retire old legacy and out-of-date technologies","TSK31",,,,32,,Peach,,False,2024-10-17 10:00,,"0 seconds",,2024-10-17 10:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK29,TSK30,TSK48","TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31,TSK31","","",,"","",""
Task,"05 - Evaluate & Optimise: Review and update overall product portfolio and their respective architecture","TSK32",,,,33,,Peach,,False,2024-11-08 10:00,,"0 seconds",,2024-11-08 10:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK29,TSK9,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK30,TSK31,TSK48","TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32,TSK32","","",,"","",""
Task,"05 - Evaluate & Optimise: Measure performance, stability, reliability, efficiencies, suitability","TSK33",,,,34,,Peach,,False,2024-12-08 02:00,,"0 seconds",,2024-12-08 02:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK29,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK30,TSK31,TSK32,TSK48,TSK9","TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33,TSK33","","",,"","",""
Task,"05 - Evaluate & Optimise: Establish holistic measurement dimensions, criteria, metrics, KPIs, OKRs and USPs","TSK34",,,,35,,Peach,,False,2024-12-29 10:00,,"0 seconds",,2024-12-29 10:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK29,TSK9,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK30,TSK21,TSK31,TSK32,TSK33,TSK48","TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34,TSK34","","",,"","",""
Task,"05 - Evaluate & Optimise: Constantly evaluate business goals and compare against measured metrics and health indicators","TSK35",,,,36,,Peach,,False,2025-01-18 20:00,,"0 seconds",,2025-01-18 20:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK29,TSK30,TSK31,TSK32,TSK33,TSK34,TSK48","TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35,TSK35","","",,"","",""
Task,"05 - Evaluate & Optimise: Infrastructure and organisational/development processes and frameworks","TSK36",,,,37,,Peach,,False,2025-02-09 13:00,,"0 seconds",,2025-02-09 13:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK29,TSK30,TSK31,TSK32,TSK33,TSK34,TSK35,TSK48","TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36,TSK36","","",,"","",""
Task,"05 - Evaluate & Optimise: Introduce useful smartness and automation to improve efficiency and usability","TSK37",,,,38,,Peach,,False,2025-03-02 05:00,,"0 seconds",,2025-03-02 05:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK25,TSK26,TSK27,TSK28,TSK29,TSK30,TSK31,TSK32,TSK33,TSK34,TSK35,TSK36,TSK48","TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37,TSK37","","",,"","",""
Task,"05 - Evaluate & Optimise: External tools, vendors, solution providers and other market forces","TSK38",,,,39,,Peach,,False,2025-03-28 21:00,,"0 seconds",,2025-03-28 21:00,"","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9,TSK10,TSK11,TSK12,TSK13,TSK14,TSK15,TSK16,TSK17,TSK18,TSK19,TSK20,TSK21,TSK22,TSK23,TSK24,TSK26,TSK27,TSK28,TSK29,TSK30,TSK31,TSK32,TSK33,TSK34,TSK25,TSK35,TSK36,TSK37,TSK48","TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38,TSK38","","",,"","",""
Task,"06 - Lifelong Learning: Engage and disseminate culture of lifelong learning by leading as example","TSK39",,,,40,,Red,,False,2025-04-19 02:00,,"0 seconds",,2025-04-19 02:00,"","TSK1,TSK2,TSK4,TSK8,TSK7,TSK12,TSK18,TSK3,TSK10,TSK9,TSK6,TSK19,TSK48,TSK5,TSK21,TSK17,TSK20,TSK16,TSK15,TSK14,TSK26,TSK23,TSK28,TSK25,TSK22,TSK27,TSK24,TSK35,TSK34,TSK38,TSK11,TSK30,TSK36,TSK37,TSK33,TSK13,TSK31,TSK32,TSK29","TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39,TSK39","","",,"","",""
Task,"06 - Lifelong Learning: Propagate required updates throughout the organisation and all levels of hierarchies","TSK40",,,,41,,Red,,False,2025-05-11 04:00,,"0 seconds",,2025-05-11 04:00,"","TSK1,TSK2,TSK4,TSK8,TSK7,TSK12,TSK18,TSK3,TSK10,TSK9,TSK6,TSK19,TSK48,TSK5,TSK21,TSK17,TSK20,TSK16,TSK15,TSK14,TSK26,TSK23,TSK28,TSK25,TSK22,TSK27,TSK24,TSK35,TSK34,TSK38,TSK11,TSK36,TSK30,TSK37,TSK33,TSK13,TSK31,TSK32,TSK29,TSK39","TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40,TSK40","","",,"","",""
Task,"06 - Lifelong Learning: Attend conferences, webinars, workshops, hackathons, events, expositions and promote gained experience to relevant audience","TSK41",,,,42,,Red,,False,2025-06-01 05:00,,"0 seconds",,2025-06-01 05:00,"","TSK1,TSK2,TSK4,TSK8,TSK7,TSK12,TSK18,TSK3,TSK10,TSK9,TSK6,TSK19,TSK48,TSK5,TSK21,TSK17,TSK20,TSK16,TSK15,TSK14,TSK26,TSK23,TSK28,TSK25,TSK22,TSK27,TSK24,TSK35,TSK34,TSK38,TSK11,TSK36,TSK30,TSK37,TSK33,TSK31,TSK13,TSK32,TSK29,TSK39,TSK40","TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41,TSK41","","",,"","",""
Task,"07 - Brand Awareness: Act as brand ambassador/representative and improve overall brand awareness","TSK42",,,,43,,Yellow,,False,2025-06-23 01:00,,"0 seconds",,2025-06-23 01:00,"","TSK1,TSK2,TSK4,TSK8,TSK7,TSK12,TSK18,TSK3,TSK10,TSK9,TSK6,TSK19,TSK48,TSK5,TSK21,TSK17,TSK20,TSK16,TSK15,TSK14,TSK26,TSK23,TSK28,TSK25,TSK22,TSK27,TSK24,TSK35,TSK34,TSK38,TSK11,TSK36,TSK30,TSK37,TSK33,TSK13,TSK31,TSK32,TSK29,TSK41,TSK39,TSK40","TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42,TSK42","","",,"","",""
Task,"07 - Brand Awareness: Co-create inspiring talent acquisition, development and retention strategies","TSK43",,,,44,,Yellow,,False,2025-07-18 06:00,,"0 seconds",,2025-07-18 06:00,"","TSK1,TSK2,TSK4,TSK8,TSK7,TSK12,TSK18,TSK3,TSK10,TSK9,TSK6,TSK19,TSK48,TSK5,TSK21,TSK17,TSK20,TSK16,TSK15,TSK14,TSK26,TSK23,TSK28,TSK25,TSK22,TSK27,TSK24,TSK35,TSK34,TSK38,TSK11,TSK36,TSK30,TSK37,TSK33,TSK13,TSK31,TSK32,TSK29,TSK41,TSK39,TSK40,TSK42","TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43,TSK43","","",,"","",""
Task,"07 - Brand Awareness: Foster internal/external loyalty and brand awareness/recognition","TSK44",,,,45,,Yellow,,False,2025-08-09 19:00,,"0 seconds",,2025-08-09 19:00,"","TSK1,TSK2,TSK4,TSK8,TSK7,TSK12,TSK18,TSK3,TSK9,TSK6,TSK19,TSK48,TSK10,TSK5,TSK21,TSK17,TSK20,TSK16,TSK15,TSK14,TSK26,TSK23,TSK28,TSK25,TSK22,TSK27,TSK24,TSK35,TSK34,TSK38,TSK11,TSK36,TSK30,TSK37,TSK33,TSK13,TSK31,TSK32,TSK29,TSK41,TSK39,TSK40,TSK42,TSK43","TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44,TSK44","","",,"","",""
Task,"07 - Brand Awareness: Seek out investment/cooperation/collaboration/acquisition/merger/ partnership opportunities","TSK45",,,,46,,Yellow,,False,2025-08-31 19:00,,"0 seconds",,2025-08-31 19:00,"","TSK1,TSK2,TSK4,TSK8,TSK7,TSK12,TSK18,TSK3,TSK10,TSK9,TSK6,TSK19,TSK48,TSK5,TSK21,TSK17,TSK20,TSK16,TSK15,TSK14,TSK26,TSK23,TSK28,TSK25,TSK22,TSK27,TSK24,TSK35,TSK34,TSK38,TSK11,TSK36,TSK30,TSK37,TSK33,TSK13,TSK31,TSK32,TSK29,TSK41,TSK39,TSK40,TSK42,TSK43,TSK44","TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45,TSK45","","",,"","",""
